                                                           Vallejo Police Department Public Log
                                                                  from 03/01/2026 to 03/01/2026
  Incident #        Date                              Location                             Description           Beat                    Disposition
Total 185 Records                                                       Page 5 of 7                                     Updated @ 3/6/2026 3:20:04 AM
                                                          Vallejo Police Department Public Log
                                                                  from 03/01/2026 to 03/01/2026
  Incident #        Date                              Location                            Description      Beat               Disposition
2603010196     03/01/2026 18:23   700 BLK SERENO DR                      DOMESTIC VIOLENCE JUST OCCURRED    7     UNABLE TO LOCATE

2603010198     03/01/2026 18:27   200 BLK NICOLE WY                      AUDIBLE ALARM                      8     UNABLE TO LOCATE

2603010199     03/01/2026 18:29   00 BLK SPRINGSTOWNE CTR                RECKLESS DRIVER                    2     ALERT BROADCAST

2603010201     03/01/2026 18:40   6100 BLK LA COSTA CT                   CORONER'S CASE                     1     REPORT

2603010202     03/01/2026 18:40   100 BLK SHERROD CT                     PHYSICAL FIGHT                     2     UNABLE TO LOCATE

2603010203     03/01/2026 18:45   SPRINGS RD/ROLLINGWOOD DR              SIDE SHOW (NOT SIMPLE 23103)       2     ALERT BROADCAST

2603010204     03/01/2026 18:51   300 BLK GLENN ST                       VERBAL FIGHT                       5     GENERAL SERVICE PROVIDED

2603010205     03/01/2026 19:09   LORENZO DR/STEPHEN CT                  NOISE COMPLAINT                    8     GENERAL SERVICE PROVIDED

2603010208     03/01/2026 19:35   1300 BLK GATEWAY DR                    911 HANGUP                         8     UNABLE TO LOCATE

2603010210     03/01/2026 19:44   5200 BLK SONOMA BL                     NOISE COMPLAINT                    8     GENERAL SERVICE PROVIDED

2603010212     03/01/2026 20:00   SPRINGS RD/ROLLINGWOOD DR              SECURITY CHECK                     2     UNABLE TO LOCATE

2603010214     03/01/2026 20:13   800 BLK DONNER PASS RD                 VERBAL FIGHT                       8     GENERAL SERVICE PROVIDED

2603010215     03/01/2026 20:20   200 BLK FAIRGROUNDS DR                 PETTY THEFT JUST OCCURRED          7     REPORT

2603010216     03/01/2026 20:20   2100 BLK INDIANA ST                    OUTSIDE AGENCY ASSIST              5     CANCELLED BY REPORTING PARTY

2603010217     03/01/2026 20:21   1500 BLK TENNESSEE ST                  AUDIBLE ALARM                      5     GENERAL SERVICE PROVIDED

2603010218     03/01/2026 20:34   300 BLK MARIN ST                       911 HANGUP                         6     UNABLE TO LOCATE

2603010219     03/01/2026 20:35   100 BLK WESTWOOD ST                    AUDIBLE ALARM                      2     UNABLE TO LOCATE

2603010221     03/01/2026 20:46   1900 BLK BROADWAY ST                   CUSTOMER DISTURBANCE               7     GENERAL SERVICE PROVIDED

2603010222     03/01/2026 20:47   CAPITOL ST/MONTEREY ST                 SUSPICIOUS VEHICLE CHECK           5     ARREST

2603010223     03/01/2026 20:52   1100 BLK ADMIRAL CALLAGHAN LN          INFORMATIONAL REPORT               1     CANCELLED BY DISPATCH

2603010224     03/01/2026 21:06   500 BLK NAPA ST                        MISDEMEANOR HIT AND RUN REPORT     4     REPORT

2603010227     03/01/2026 21:18   300 BLK LIGHTHOUSE DR                  FLAGDOWN BY CITIZEN                6     GENERAL SERVICE PROVIDED

2603010228     03/01/2026 21:20   LEMON ST/CURTOLA PKWY                  MENTAL DISTURBED SUBJECT           4     REPORT

2603010229     03/01/2026 21:33   MARIN ST/CAPITOL ST                    TRAFFIC STOP                       6     ARREST

2603010232     03/01/2026 21:51   300 BLK HOSPITAL DR                    CUSTOMER DISTURBANCE               7     GENERAL SERVICE PROVIDED

2603010233     03/01/2026 22:07   REDWOOD ST/BROADWAY ST                 SUSPICIOUS VEHICLE CHECK           5     GENERAL SERVICE PROVIDED

2603010236     03/01/2026 22:32   00 BLK BALBOA AV                       911 HANGUP                         2     UNABLE TO LOCATE

2603010237     03/01/2026 22:32   100 BLK CLARK DR                       SUSPICIOUS PERSON                  1     UNABLE TO LOCATE

2603010238     03/01/2026 22:37   2900 BLK REDWOOD PKY                   VERBAL FIGHT                       1     UNABLE TO LOCATE



Total 185 Records                                                      Page 6 of 7                                      Updated @ 3/6/2026 3:20:04 AM
                                                          Vallejo Police Department Public Log
                                                                 from 03/01/2026 to 03/01/2026
  Incident #        Date                           Location                             Description           Beat               Disposition
2603010239     03/01/2026 22:49   100 BLK W BAXTER ST                   INFORMATIONAL REPORT                   6     REFERRED TO ANOTHER AGENCY

2603010240     03/01/2026 22:56   TEXAS ST/EL DORADO                    NOISE COMPLAINT                        5     GENERAL SERVICE PROVIDED

2603010241     03/01/2026 23:04   700 BLK GEORGIA ST                    VEHICLE THEFT REPORT                   5     REPORT

2603010242     03/01/2026 23:10   TUOLUMNE ST/TENNESSEE ST              MENTAL DISTURBED SUBJECT               5     DUPLICATE CALL

2603010244     03/01/2026 23:22   2800 BLK TUOLUMNE ST                  911 HANGUP                             7     UNABLE TO LOCATE

2603010245     03/01/2026 23:23   300 BLK WHITECLIFF DR                 VEHICLE TAMPERING JUST OCCURRED        7     REPORT

2603010246     03/01/2026 23:28   00 BLK BRUNSWICK CT                   WELFARE CHECK                          2     GENERAL SERVICE PROVIDED

2603010248     03/01/2026 23:46   100 BLK AMADOR ST                     TRANSPORT ARRESTED PERSON              4     GENERAL SERVICE PROVIDED

2603010249     03/01/2026 23:47   2100 BLK SACRAMENTO ST                INTEGRATED HEALTH AND RESPONSE TEAM    6     MH TEAM -IHART PRIMARY

2603010250     03/01/2026 23:49   COUCH ST/CALIFORNIA ST                TRAFFIC STOP                           5     GENERAL SERVICE PROVIDED

2603010251     03/01/2026 23:51   00 BLK SAGE ST                        TRAFFIC STOP                           7     WARNING GIVEN




Total 185 Records                                                     Page 7 of 7                                          Updated @ 3/6/2026 3:20:04 AM

