                                                           Vallejo Police Department Public Log
                                                                  from 03/17/2026 to 03/17/2026
  Incident #        Date                               Location                           Description     Beat               Disposition
2603170163     03/17/2026 15:51   100 BLK CRAVEN ST                      VERBAL FIGHT                        6     CANCELLED BY REPORTING PARTY

2603170164     03/17/2026 15:53   300 BLK VIRGINIA ST                    911 HANGUP                          6     CANCELLED BY REPORTING PARTY

2603170165     03/17/2026 15:55   1000 BLK ALABAMA ST                    TRESPASS IN PROGRESS                5     GENERAL SERVICE PROVIDED

2603170166     03/17/2026 16:21   WILSON AV/SIMS AV                      SUSPICIOUS PERSON                   6     UNABLE TO LOCATE

2603170169     03/17/2026 16:29   00 BLK PARKHAVEN CT                    CORONER'S CASE                      1     REPORT

2603170171     03/17/2026 16:45   600 BLK MAGAZINE ST                    SUSP CIRCUMSTANCES                  4     UNFOUNDED

2603170175     03/17/2026 17:04   100 BLK ELNA DR                        AUDIBLE ALARM                       1     UNFOUNDED

2603170183     03/17/2026 17:25   3500 BLK SONOMA BL                     TRAFFIC CONTROL / STRUCTURE FIRE    6     CANCELLED BY DISPATCH

2603170184     03/17/2026 17:26   1000 BLK SOLANO AV                     INDECENT EXPOSURE IN PROGRESS       4     GENERAL SERVICE PROVIDED

2603170185     03/17/2026 17:30   100 BLK HILBORN ST                     911 HANGUP                          6     CANCELLED BY REPORTING PARTY

2603170187     03/17/2026 17:44   300 BLK SACRAMENTO ST                  PETTY THEFT                         6     UNABLE TO LOCATE

2603170189     03/17/2026 17:52   500 BLK SANTA CLARA ST                 AUDIBLE ALARM                       6     GENERAL SERVICE PROVIDED

2603170191     03/17/2026 17:58   500 BLK SANTA CLARA ST                 TRAFFIC CONTROL / STRUCTURE FIRE    6     GENERAL SERVICE PROVIDED

2603170192     03/17/2026 18:07   400 BLK PENNSYLVANIA ST                VERBAL FIGHT                        4     UNFOUNDED

2603170193     03/17/2026 18:23   TENNESSEE ST/MARIN ST                  FOUND CHILD                         6     GENERAL SERVICE PROVIDED

2603170194     03/17/2026 18:26   800 BLK WATERFRONT AV                  911 HANGUP                          6     UNABLE TO LOCATE

2603170196     03/17/2026 18:42   500 BLK SANTA CLARA ST                 AREA CHECK                          6     GENERAL SERVICE PROVIDED

2603170198     03/17/2026 18:48   100 BLK JANICE ST                      SEND OFFICER COVER                  8     UNFOUNDED

2603170199     03/17/2026 19:00   100 BLK LIVE OAK CT                    ANNOYING/HARASSING PHONE CALLS      2     UNABLE TO LOCATE

2603170200     03/17/2026 19:17   2000 BLK TENNESSEE ST                  VEHICLE THEFT REPORT                5     REPORT

2603170201     03/17/2026 19:20   00 BLK BRIGHTON DR                     911 HANGUP                          2     UNABLE TO LOCATE

2603170202     03/17/2026 19:21   200 BLK INVERNESS DR                   911 HANGUP                          7     UNABLE TO LOCATE

2603170203     03/17/2026 19:24   400 BLK SANTA CLARA ST                 AUDIBLE ALARM                       6     UNFOUNDED



Total 174 Records                                                      Page 5 of 6                                      Updated @ 3/22/2026 3:20:03 AM
                                                           Vallejo Police Department Public Log
                                                                  from 03/17/2026 to 03/17/2026
  Incident #        Date                               Location                          Description         Beat               Disposition
2603170204     03/17/2026 19:25   200 BLK MAINE ST                       SUSP CIRCUMSTANCES                   6     GENERAL SERVICE PROVIDED

2603170205     03/17/2026 19:26   500 BLK OREGON ST                      WELFARE CHECK                        5     ALERT BROADCAST

2603170206     03/17/2026 19:28   400 BLK ARKANSAS ST                    SUSP CIRCUMSTANCES                   5     GENERAL SERVICE PROVIDED

2603170208     03/17/2026 19:45   SONOMA BL/GEORGIA ST                   TRAFFIC STOP                         4     WARNING GIVEN
                                                                         SHOOTING INTO UNOCCUPIED DWELLING
2603170209     03/17/2026 19:53   00 BLK ROTARY WY                                                            1     ARREST
                                                                         /BUILDING
2603170210     03/17/2026 19:55   1300 BLK MONTEREY ST                   SUSPICIOUS PERSON                    5     ALERT BROADCAST

2603170211     03/17/2026 20:08   900 BLK BRENTWOOD AV                   SUSP CIRCUMSTANCES                   2     UNABLE TO LOCATE

2603170212     03/17/2026 20:17   100 BLK CARNIVAL CT                    AUDIBLE ALARM                        8     UNABLE TO LOCATE

2603170213     03/17/2026 20:20   800 BLK LA CANYADA DR                  EXTRA PATROL                         3     COPIED TO PATROL LOG

2603170214     03/17/2026 20:23   1900 BLK BROADWAY ST                   DOMESTIC VIOLENCE JUST OCCURRED      7     UNABLE TO LOCATE

2603170215     03/17/2026 20:52   YOLO AV/ARKANSAS ST                    AREA CHECK                           6     GENERAL SERVICE PROVIDED

2603170216     03/17/2026 21:16   TENNESSEE ST/OV 80                     TRAFFIC COLLISION / NO DETAILS       2     UNABLE TO LOCATE

2603170217     03/17/2026 21:17   2000 BLK OHIO ST                       NOISE COMPLAINT                      5     COPIED TO PATROL LOG

2603170218     03/17/2026 21:20   MARIPOSA ST/SOLANO AV                  TRAFFIC COLLISION / NO DETAILS       5     UNABLE TO LOCATE

2603170219     03/17/2026 21:34   MARIN ST/KENTUCKY ST                   PROSTITUTION COMPLAINT               6     COPIED TO PATROL LOG

2603170220     03/17/2026 21:47   5200 BLK SONOMA BL                     AUDIBLE ALARM                        8     UNFOUNDED

2603170221     03/17/2026 21:58   300 BLK TUOLUMNE ST                    MISUSE OF 911                        5     GENERAL SERVICE PROVIDED

2603170222     03/17/2026 22:08   SACRAMENTO ST/TENNESSEE ST             RECKLESS DRIVER                      6     GENERAL SERVICE PROVIDED

2603170223     03/17/2026 22:13   100 BLK AMADOR ST                      TRANSPORT ARRESTED PERSON            4     GENERAL SERVICE PROVIDED

2603170224     03/17/2026 22:16   SACRAMENTO ST/TENNESSEE ST             SUSP CIRCUMSTANCES                   6     GENERAL SERVICE PROVIDED

2603170227     03/17/2026 22:32   2500 BLK TENNESSEE ST                  SUSP CIRCUMSTANCES                   1     CANCELLED BY REPORTING PARTY

2603170229     03/17/2026 22:43   200 BLK MARE ISLAND WY                 WELFARE CHECK                        6     GENERAL SERVICE PROVIDED

2603170230     03/17/2026 22:50   1500 BLK FLORIDA ST                    SUSP CIRCUMSTANCES                   5     ALERT BROADCAST

2603170231     03/17/2026 23:01   100 BLK YORKSHIRE CT                   FAMILY DISTURBANCE                   2     GENERAL SERVICE PROVIDED

2603170233     03/17/2026 23:16   00 BLK WINTERS ST                      911 HANGUP                           7     UNABLE TO LOCATE

2603170234     03/17/2026 23:19   200 BLK LARISSA LN                     911 HANGUP                           4     UNABLE TO LOCATE

2603170235     03/17/2026 23:24   1800 BLK SPRINGS RD                    MENTAL DISTURBED SUBJECT             2     ALERT BROADCAST

2603170236     03/17/2026 23:34   800 BLK 5TH ST                         RAVEN ALERT SHOTS FIRED              4     UNABLE TO LOCATE

2603170237     03/17/2026 23:47   STEFFAN ST/GEORGIA ST                  TRAFFIC STOP                         2     WARNING GIVEN



Total 174 Records                                                      Page 6 of 6                                      Updated @ 3/22/2026 3:20:03 AM

